variant,space,outlier_cont,alg,k,n_core,sil,dbi,ch,ARI_vs_quality,NMI_vs_quality,AMI_vs_quality,stab_seed_ARI,stab_subsample_ARI,min_cluster_size
no_moisture,RAW,0.1,ward,5,345,0.15953303149305062,1.8427251140649918,63.066932090041284,0.054530614690700356,0.09602136747940057,0.08552379995935608,,,18
no_moisture,RAW,0.1,ward,6,345,0.1374262900195673,1.9112608713452592,56.877299678629285,0.06053604110850208,0.09198726354534685,0.07953450152616726,,,18
no_moisture,RAW,0.1,ward,7,345,0.14381920676261786,1.8460661881789036,52.411705814301214,0.062031851613388145,0.09229923927214317,0.07778567043968207,,,16
no_moisture,RAW,0.1,ward,8,345,0.13915835256671044,1.8562262152016547,48.562975240703345,0.06806976885752003,0.0899215045733465,0.07366861289636323,,,16
no_moisture,RAW,0.1,ward,9,345,0.11392515722656436,1.9765600041812452,45.88466023808708,0.04360125233431248,0.08239332315424021,0.06535981808166844,,,16
no_moisture,RAW,0.1,ward,10,345,0.11763602078077362,1.878980941463631,43.94392985863116,0.04615678961157721,0.08415869857061105,0.0654037018724264,,,16
no_moisture,PCA,0.0,kmeans,2,384,0.2929989616797594,1.4297487394561732,154.50280139614034,0.06718745521210319,0.03818529456869835,0.03459632740636342,0.9943109604875146,0.9950425295804631,155
no_moisture,PCA,0.0,kmeans,3,384,0.2488181745921624,1.7056367926563833,101.18881720809432,0.08983984616353591,0.05192131822522795,0.04589148346369956,0.6169022184520804,0.6529700031778899,52
no_moisture,PCA,0.0,kmeans,4,384,0.20913035134269375,1.9540310219964705,82.19109756394606,0.10900564184461818,0.06701625753777629,0.05927499985420352,0.6044758151532488,0.546054755574624,55
no_moisture,PCA,0.0,kmeans,5,384,0.18209740764149449,1.8583198506615974,74.88583458619996,0.10227346612739706,0.0693626281898544,0.05968920474812908,0.5534890910469275,0.46426230295672277,30
no_moisture,PCA,0.0,kmeans,6,384,0.17908509511865225,1.8606018879223785,66.11049372639937,0.10250134193006111,0.06199393541539277,0.05028518945517418,0.5292895644401142,0.47734146955125645,22
no_moisture,PCA,0.0,kmeans,7,384,0.12410470170957721,1.9268831143034908,61.356858023811974,0.06276260217435127,0.06718528731855788,0.05469789803905845,0.4529705843011212,0.4306869508311147,22
no_moisture,PCA,0.0,kmeans,8,384,0.15276538400043152,1.7955252249987472,57.82856323474947,0.05482846617852588,0.08241313458934514,0.06840997548714853,0.4729184327761261,0.4152178300349207,22
no_moisture,PCA,0.0,kmeans,9,384,0.1649527210814369,1.644695474860544,56.37646217059326,0.05257449359016985,0.07690374099348347,0.06107609506609121,0.4395096082287163,0.446573969008417,16
no_moisture,PCA,0.0,kmeans,10,384,0.16104562015910562,1.614009973251741,52.887760436681525,0.04489882658747764,0.07281178069915425,0.05530293334083832,0.44594658617378,0.43986941025907866,10
no_moisture,PCA,0.0,ward,2,384,0.2539786651674314,1.5501430533847131,118.42662843014392,0.07991851433698044,0.03852611951339819,0.03481956552890271,,,127
no_moisture,PCA,0.0,ward,3,384,0.2379508004407933,1.8524442685739346,89.97159005180352,0.10597966619237473,0.056431177214982225,0.05049307298654059,,,57
no_moisture,PCA,0.0,ward,4,384,0.22841507206455855,1.7938856955241538,72.26933826642033,0.12375750859978278,0.06953790448601115,0.06119166524063401,,,22
no_moisture,PCA,0.0,ward,5,384,0.14369031249501976,1.8882306791901882,64.6668155328732,0.12022970791839244,0.08717721306512698,0.07786893611763661,,,22
